	album	artist	time	track
0	The+Best+Of+Motown+1960s+-+Volume+1	Baby Love	2016-12-01 00:00:00	The Supremes
1	Slave+Ambient	Baby Missiles	2016-12-01 00:03:00	The War On Drugs
2	Mojo+Hand:+The+Lightnin'+Hopkins+Anthology	Baby Please Don't Go	2016-12-01 00:07:00	Lightnin' Hopkins
3	(single)	Baby Please Don't Go	2016-12-01 00:09:00	Them
4	The+Best+Of+Slim+Harpo	Baby Scratch My Back	2016-12-01 00:13:00	Slim Harpo
5	Magical+Mystery+Tour	Baby You're A Rich Man	2016-12-01 00:16:00	The Beatles
6	The+Best+Of+The+Ronettes	Baby, I Love You	2016-12-01 00:19:00	The Ronettes
7	Night+Food	Baby, I Need Your Loving	2016-12-01 00:21:00	The Heptones
8	Now+That+I've+Found+You:+A+Collection	Baby, Now That I've Found You	2016-12-01 00:25:00	Alison Krauss
9	Baby,+Now+That+I've+Found+You	Baby, Now That I've Found You	2016-12-01 00:29:00	The Foundations
10	White+Ladder	Babylon	2016-12-01 00:32:00	David Gray
11	Gaucho	Babylon Sisters	2016-12-01 00:36:00	Steely Dan
12	The+Chess+Box+2	Back Door Man	2016-12-01 00:46:00	Howlin' Wolf
13	The+Doors	Back Door Man	2016-12-01 00:49:00	The Doors
14	Come+Around+Sundown	Back Down South	2016-12-01 00:52:00	Kings Of Leon
15	Come+Around+Sundown	Back Down South	2016-12-01 00:52:00	Kings Of Leon
16	The+Beatles	Back In The U. S. S. R.	2016-12-01 00:57:00	The Beatles
17	The+Chuck+Berry+Box+Set+-disc+2	Back In The USA	2016-12-01 01:00:00	Chuck Berry
18	Back+In+The+USA	Back In The USA	2016-12-01 01:02:00	MC5
19	The+Con	Back In Your Head	2016-12-01 01:05:00	Tegan And Sara
20	Nils+Lofgren	Back It Up	2016-12-01 01:08:00	Nils Lofgren
21	Photograph:+The+Very+Best+Of+Ringo+Starr	Back Off Boogaloo	2016-12-01 01:11:00	Ringo Starr
22	Learning+To+Crawl	Back On The Chain Gang	2016-12-01 01:14:00	The Pretenders
23	Farmhouse	Back On The Train	2016-12-01 01:17:00	Phish
24	Farmhouse	Back On The Train	2016-12-01 01:18:00	Phish
25	Back+Stabbers	Back Stabbers	2016-12-01 01:20:00	The O'Jays
26	Back+To+Me	Back to Me	2016-12-01 01:23:00	Kathleen Edwards
27	Room+For+Squares	Back To You	2016-12-01 01:27:00	John Mayer
28	Born+To+Run	Backstreets	2016-12-01 01:31:00	Bruce Springsteen
29	Too+High+To+Die	Backwater	2016-12-01 01:38:00	Meat Puppets
